Bus,,,,,,,,,,,,,,,,,,,,,,,
Number,Name,SubNumber,AreaName,NomkV,BusCat,Vpu,kV,Vangle,LoadMW,SubIDExtra,LoadMvar,GenMW,GenMvar,ShuntMvar,ActG,ActB,AreaNumber,ZoneNumber,City,County,State,SubLatitude,SubLongitude
110040,PINE BLUFF 3 4,9,AR,24,PQ,1.01433,24.344,-24.75,,9,,,,,0,0,1,1,Abernathy,Hale County,Texas,34.1,-92.06
110041,PINE BLUFF 3 5,9,AR,1,PQ,1.01433,1.014,-24.75,,9,,,,,0,0,1,1,Abernathy,Hale County,Texas,34.1,-92.06
110042,BANKS 1,10,AR,115,PQ,1.02604,117.994,-26.93,2.8,10,0.6,,,,0,0,1,1,Abernathy,Hale County,Texas,33.64,-92.3
110043,BANKS 2,10,AR,13.8,PQ,1.02317,14.12,-27.26,3,10,1.3,,,,0,0,1,1,Abernathy,Hale County,Texas,33.64,-92.3
110044,BANKS 3,10,AR,13.8,PQ,1.02618,14.161,-26.91,,10,,,,,0,0,1,1,Abernathy,Hale County,Texas,33.64,-92.3
110045,BANKS 4,10,AR,1,PQ,1.02618,1.026,-26.91,,10,,,,,0,0,1,1,Abernathy,Hale County,Texas,33.64,-92.3
110046,CROSSETT 1 1,11,AR,115,PQ,1.02127,117.446,-30.22,14.9,11,2.6,,,,0,0,1,1,Abernathy,Hale County,Texas,33.15,-92.03
110047,CROSSETT 1 2,11,AR,13.8,PQ,1.02127,14.093,-30.22,,11,,,,,0,0,1,1,Abernathy,Hale County,Texas,33.15,-92.03
110048,CROSSETT 1 3,11,AR,13.8,PQ,1.02127,14.093,-30.22,,11,,,,,0,0,1,1,Abernathy,Hale County,Texas,33.15,-92.03
110049,CROSSETT 1 4,11,AR,1,PQ,1.02127,1.021,-30.22,,11,,,,,0,0,1,1,Abernathy,Hale County,Texas,33.15,-92.03
110050,CROSSETT 2 1,12,AR,161,PQ,1.02772,165.463,-27.89,,12,,,,,0,0,1,1,Abernathy,Hale County,Texas,33.15,-92.02
110051,CROSSETT 2 2,12,AR,138,PQ,1.02324,141.207,-29.75,,12,,,,,0,0,1,1,Abernathy,Hale County,Texas,33.15,-92.02
110052,CROSSETT 2 3,12,AR,115,PQ,1.02118,117.436,-30.27,12.1,12,4,,,,0,0,1,1,Abernathy,Hale County,Texas,33.15,-92.02
110053,CROSSETT 2 4,12,AR,13.8,PQ,1.02211,14.105,-30.3,,12,,,,,0,0,1,1,Abernathy,Hale County,Texas,33.15,-92.02
110054,CROSSETT 2 5,12,AR,1,PQ,1.02211,1.022,-30.3,,12,,,,,0,0,1,1,Abernathy,Hale County,Texas,33.15,-92.02
110055,CROSSETT 2 6,12,AR,18,PQ,1.02118,18.381,-30.27,,12,,,,,0,0,1,1,Abilene,Dickinson County,Kansas,33.15,-92.02
110056,CROSSETT 2 7,12,AR,18,PQ,1.02118,18.381,-30.27,,12,,,,,0,0,1,1,Abilene,Dickinson County,Kansas,33.15,-92.02
110057,CROSSETT 2 8,12,AR,1,PQ,1.02118,1.021,-30.27,,12,,,,,0,0,1,1,Abilene,Dickinson County,Kansas,33.15,-92.02
110058,CROSSETT 3 1,13,AR,115,PQ,1.01975,117.271,-30.65,16.9,13,2.9,,,,0,0,1,1,Abingdon,Knox County,Illinois,33.13,-91.95
110059,CROSSETT 3 2,13,AR,13.8,PQ,1.01975,14.073,-30.65,,13,,,,,0,0,1,1,Abington,Wayne County,Indiana,33.13,-91.95
110060,CROSSETT 3 3,13,AR,13.8,PQ,1.01975,14.073,-30.65,,13,,,,,0,0,1,1,Abita Springs,St. Tammany Parish,Louisiana,33.13,-91.95
110061,CROSSETT 3 4,13,AR,1,PQ,1.01975,1.02,-30.65,,13,,,,,0,0,1,1,Abita Springs,St. Tammany Parish,Louisiana,33.13,-91.95
110062,DUMAS 1 1,14,AR,115,PQ,1.02788,118.207,-28.01,7,14,1.7,,,,0,0,1,1,Abney,Itawamba County,Mississippi,33.82,-91.54
110063,DUMAS 1 2,14,AR,13.8,PQ,1.02788,14.185,-28.01,,14,,,,,0,0,1,1,Abney,Itawamba County,Mississippi,33.82,-91.54
110064,DUMAS 1 3,14,AR,13.8,PQ,1.02788,14.185,-28.01,,14,,,,,0,0,1,1,Ackworth,Warren County,Iowa,33.82,-91.54
110065,DUMAS 1 4,14,AR,1,PQ,1.02788,1.028,-28.01,,14,,,,,0,0,1,1,Acme,Grand Traverse County,Michigan,33.82,-91.54
110066,DUMAS 2 1,15,AR,161,PQ,1.02803,165.512,-26.28,,15,,,,,0,0,1,1,Acorn Corner,Pemiscot County,Missouri,33.83,-91.57
110067,DUMAS 2 2,15,AR,115,PQ,1.02903,118.339,-27.74,5.8,15,3.4,,,,0,0,1,1,Acy,Ascension Parish,Louisiana,33.83,-91.57
110068,DUMAS 2 3,15,AR,13.8,PQ,1.02903,14.201,-27.74,,15,,,,,0,0,1,1,Ada,Kent County,Michigan,33.83,-91.57
110069,DUMAS 2 4,15,AR,13.8,PQ,1.02903,14.201,-27.74,,15,,,,,0,0,1,1,Ada,Kent County,Michigan,33.83,-91.57
110070,DUMAS 2 5,15,AR,1,PQ,1.02903,1.029,-27.74,,15,,,,,0,0,1,1,Ada,Pontotoc County,Oklahoma,33.83,-91.57
110071,DUMAS 3 1,16,AR,115,PQ,1.03345,118.847,-28.1,6.8,16,0.8,,,,0,0,1,1,Ada,Kent County,Michigan,33.94,-91.54
110072,DUMAS 3 2,16,AR,13.8,PQ,1.03345,14.262,-28.1,,16,,,,,0,0,1,1,Ada,Kent County,Michigan,33.94,-91.54
110073,DUMAS 3 3,16,AR,13.8,PQ,1.03345,14.262,-28.1,,16,,,,,0,0,1,1,Ada,Pontotoc County,Oklahoma,33.94,-91.54
110074,DUMAS 3 4,16,AR,1,PQ,1.03345,1.033,-28.1,,16,,,,,0,0,1,1,Ada,Pontotoc County,Oklahoma,33.94,-91.54
110075,GRADY 1 1,17,AR,115,PQ,1.02244,117.581,-25.46,4.6,17,0.3,,,,0,0,1,1,Ada,Kent County,Michigan,34.08,-91.72
110076,GRADY 1 2,17,AR,13.8,PQ,1.01962,14.071,-25.71,3.7,17,2.1,,,,0,0,1,1,Ada,Pontotoc County,Oklahoma,34.08,-91.72
110077,GRADY 1 3,17,AR,13.8,PQ,1.02216,14.106,-25.49,,17,,,,,0,0,1,1,Ada,Kent County,Michigan,34.08,-91.72
110078,GRADY 1 4,17,AR,1,PQ,1.02216,1.022,-25.49,,17,,,,,0,0,1,1,Ada,Pontotoc County,Oklahoma,34.08,-91.72
110079,GRADY 2 1,18,AR,161,PQ,1.02464,164.967,-23.98,,18,,,,,0,0,1,1,Ada,Pontotoc County,Oklahoma,34.1,-91.77
110080,GRADY 2 2,18,AR,115,PQ,1.02293,117.637,-25.15,9.2,18,0.3,,,,0,0,1,1,Ada,Pontotoc County,Oklahoma,34.1,-91.77
110081,GRADY 2 3,18,AR,18,PQ,1.01831,18.329,-25.98,10.3,18,2.6,,,,0,0,1,1,Ada,Kent County,Michigan,34.1,-91.77
110082,GRADY 2 4,18,AR,18,PQ,1.02261,18.407,-25.2,,18,,,,,0,0,1,1,Ada,Kent County,Michigan,34.1,-91.77
110083,GRADY 2 5,18,AR,1,PQ,1.02261,1.023,-25.2,,18,,,,,0,0,1,1,Ada,Kent County,Michigan,34.1,-91.77
110084,HAMBURG 2 1,19,AR,115,PQ,1.02026,117.33,-30.8,9.3,19,4.2,,,,0,0,1,1,Ada,Kent County,Michigan,33.19,-91.84
110085,HAMBURG 2 2,19,AR,13.8,PQ,1.02026,14.08,-30.8,,19,,,,,0,0,1,1,Adair,Hancock County,Kentucky,33.19,-91.84
110086,HAMBURG 2 3,19,AR,13.8,PQ,1.02026,14.08,-30.8,,19,,,,,0,0,1,1,Adair,Adair County,Iowa,33.19,-91.84
110087,HAMBURG 2 4,19,AR,1,PQ,1.02026,1.02,-30.8,,19,,,,,0,0,1,1,Adair,Hancock County,Kentucky,33.19,-91.84
110088,HAMBURG 3 1,20,AR,161,PQ,1.02887,165.649,-28.32,,20,,,,,0,0,1,1,Adair,Hancock County,Kentucky,33.16,-91.77
110089,HAMBURG 3 2,20,AR,138,PQ,1.02515,141.471,-30.24,,20,,,,,0,0,1,1,Adair,Hancock County,Kentucky,33.16,-91.77
110090,HAMBURG 3 3,20,AR,115,PQ,1.02225,117.559,-30.77,9.2,20,4,,,,0,0,1,1,Adair,Mayes County,Oklahoma,33.16,-91.77
110091,HAMBURG 3 4,20,AR,13.8,PQ,1.02225,14.107,-30.77,,20,,,,,0,0,1,1,Adair,Adair County,Iowa,33.16,-91.77
110092,HAMBURG 3 5,20,AR,13.8,PQ,1.02225,14.107,-30.77,,20,,,,,0,0,1,1,Adair,Adair County,Iowa,33.16,-91.77
110093,HAMBURG 3 6,20,AR,1,PQ,1.02225,1.022,-30.77,,20,,,,,0,0,1,1,Adair,Adair County,Iowa,33.16,-91.77
110094,HAMBURG 4 1,21,AR,115,PQ,1.02348,117.701,-30.96,10.1,21,1.2,,,,0,0,1,1,Adair,Adair County,Iowa,33.26,-91.67
110095,HAMBURG 4 2,21,AR,13.8,PQ,1.02348,14.124,-30.96,,21,,,,,0,0,1,1,Adair,Adair County,Iowa,33.26,-91.67
110096,HAMBURG 4 3,21,AR,13.8,PQ,1.02348,14.124,-30.96,,21,,,,,0,0,1,1,Adair,Mayes County,Oklahoma,33.26,-91.67
110097,HAMBURG 4 4,21,AR,1,PQ,1.02348,1.023,-30.96,,21,,,,,0,0,1,1,Adair,Adair County,Iowa,33.26,-91.67
110098,HERMITAGE 1 1,22,AR,115,PQ,1.02384,117.742,-28.38,2.8,22,0.5,,,,0,0,1,1,Adair,Hancock County,Kentucky,33.42,-92.14
110099,HERMITAGE 1 2,22,AR,13.8,PQ,1.02338,14.123,-28.51,2,22,0.3,,,,0,0,1,1,Adams,Mower County,Minnesota,33.42,-92.14
110100,HERMITAGE 1 3,22,AR,13.8,PQ,1.0238,14.128,-28.39,,22,,,,,0,0,1,1,Adams,Mower County,Minnesota,33.42,-92.14
110101,HERMITAGE 1 4,22,AR,1,PQ,1.0238,1.024,-28.39,,22,,,,,0,0,1,1,Adams,Mower County,Minnesota,33.42,-92.14
110102,HERMITAGE 2 1,23,AR,115,PQ,1.02409,117.771,-28.74,2.3,23,0.2,,,,0,0,1,1,Adams,Mower County,Minnesota,33.32,-92.15
110103,HERMITAGE 2 2,23,AR,20,PQ,1.02409,20.482,-28.74,,23,,,,,0,0,1,1,Adams,Mower County,Minnesota,33.32,-92.15
110104,HERMITAGE 2 3,23,AR,20,PQ,1.02409,20.482,-28.74,,23,,,,,0,0,1,1,Adams,Mower County,Minnesota,33.32,-92.15
110105,HERMITAGE 2 4,23,AR,1,PQ,1.02409,1.024,-28.74,,23,,,,,0,0,1,1,Adams,Mower County,Minnesota,33.32,-92.15
110106,HERMITAGE 3 1,24,AR,115,PQ,1.02407,117.768,-28.66,2.3,24,0.6,,,,0,0,1,1,Adams Beach,Shawano County,Wisconsin,33.33,-92.11
110107,HERMITAGE 3 2,24,AR,13.8,PQ,1.02407,14.132,-28.66,,24,,,,,0,0,1,1,Adams Beach,Shawano County,Wisconsin,33.33,-92.11
110108,HERMITAGE 3 3,24,AR,13.8,PQ,1.02407,14.132,-28.66,,24,,,,,0,0,1,1,Adams Landing,Issaquena County,Mississippi,33.33,-92.11
110109,HERMITAGE 3 4,24,AR,1,PQ,1.02407,1.024,-28.66,,24,,,,,0,0,1,1,Adams Landing,Issaquena County,Mississippi,33.33,-92.11
110110,KINGSLAND 1 1,25,AR,115,PQ,1.03067,118.527,-24.82,0.9,25,0.2,,,,0,0,1,1,Adams Landing,Issaquena County,Mississippi,33.9,-92.43
110111,KINGSLAND 1 2,25,AR,20,PQ,1.03067,20.613,-24.82,,25,,,,,0,0,1,1,Addington,Jefferson County,Oklahoma,33.9,-92.43
110112,KINGSLAND 1 3,25,AR,20,PQ,1.03067,20.613,-24.82,,25,,,,,0,0,1,1,Addis,West Baton Rouge Parish,Louisiana,33.9,-92.43
110113,KINGSLAND 1 4,25,AR,1,PQ,1.03067,1.031,-24.82,,25,,,,,0,0,1,1,Addis,West Baton Rouge Parish,Louisiana,33.9,-92.43
110114,KINGSLAND 2 1,26,AR,115,PQ,1.02206,117.537,-24.73,0.9,26,0.1,,,,0,0,1,1,Addis,West Baton Rouge Parish,Louisiana,34,-92.3
110115,KINGSLAND 2 2,26,AR,13.8,PQ,1.02206,14.104,-24.73,,26,,,,,0,0,1,1,Addis,West Baton Rouge Parish,Louisiana,34,-92.3
110116,KINGSLAND 2 3,26,AR,13.8,PQ,1.02206,14.104,-24.73,,26,,,,,0,0,1,1,Addis,West Baton Rouge Parish,Louisiana,34,-92.3
110117,KINGSLAND 2 4,26,AR,1,PQ,1.02206,1.022,-24.73,,26,,,,,0,0,1,1,Addison,DuPage County,Illinois,34,-92.3
110118,KINGSLAND 3 1,27,AR,115,PQ,1.02791,118.21,-25.38,2.2,27,0.4,,,,0,0,1,1,Addison,DuPage County,Illinois,33.89,-92.33
110119,KINGSLAND 3 2,27,AR,13.8,PQ,1.0272,14.175,-25.55,2.1,27,0.4,,,,0,0,1,1,Addison,DuPage County,Illinois,33.89,-92.33
110120,KINGSLAND 3 3,27,AR,13.8,PQ,1.02793,14.185,-25.37,,27,,,,,0,0,1,1,Addison,DuPage County,Illinois,33.89,-92.33
110121,KINGSLAND 3 4,27,AR,1,PQ,1.02793,1.028,-25.37,,27,,,,,0,0,1,1,Addison,Lenawee County,Michigan,33.89,-92.33
110122,LAKE VILLAGE 1 1,28,AR,115,PQ,1.02536,117.916,-31.28,6.2,28,2.9,,,,0,0,1,1,Addison,DuPage County,Illinois,33.36,-91.3
110123,LAKE VILLAGE 1 2,28,AR,22,PQ,1.02321,22.511,-31.96,6.9,28,0.9,,,,0,0,1,1,Addison,DuPage County,Illinois,33.36,-91.3
110124,LAKE VILLAGE 1 3,28,AR,22,PQ,1.02518,22.554,-31.33,,28,,,,,0,0,1,1,Addison,Lenawee County,Michigan,33.36,-91.3
110125,LAKE VILLAGE 1 4,28,AR,1,PQ,1.02518,1.025,-31.33,,28,,,,,0,0,1,1,Addison,DuPage County,Illinois,33.36,-91.3
110126,LAKE VILLAGE 2 1,29,AR,115,PQ,1.02615,118.008,-31.69,6.4,29,2.1,,,,0,0,1,1,Adel,Dallas County,Iowa,33.25,-91.27
110127,LAKE VILLAGE 2 2,29,AR,13.8,PQ,1.02258,14.112,-32.37,6.4,29,1.5,,,,0,0,1,1,Adeline,Ogle County,Illinois,33.25,-91.27
110128,LAKE VILLAGE 2 3,29,AR,13.8,PQ,1.02604,14.159,-31.71,,29,,,,,0,0,1,1,Adell,Sheboygan County,Wisconsin,33.25,-91.27
110129,LAKE VILLAGE 2 4,29,AR,1,PQ,1.02604,1.026,-31.71,,29,,,,,0,0,1,1,Adona,Perry County,Arkansas,33.25,-91.27
110130,LAKE VILLAGE 3 1,30,AR,161,PQ,1.03547,166.711,-29.35,,30,,,,,0,0,1,1,Adrian,Lenawee County,Michigan,33.34,-91.23
110131,LAKE VILLAGE 3 2,30,AR,115,PQ,1.02999,118.449,-31.15,6.5,30,2.9,,,,0,0,1,1,Adrian,Lenawee County,Michigan,33.34,-91.23
110132,LAKE VILLAGE 3 3,30,AR,24,PQ,1.02786,24.669,-31.68,7.4,30,1.3,,,,0,0,1,1,Adrian,Bates County,Missouri,33.34,-91.23
110133,LAKE VILLAGE 3 4,30,AR,24,PQ,1.03015,24.724,-31.12,,30,,,,,0,0,1,1,Adrian,Nobles County,Minnesota,33.34,-91.23
110134,LAKE VILLAGE 3 5,30,AR,1,PQ,1.03015,1.03,-31.12,,30,,,,,0,0,1,1,Adrian,Nobles County,Minnesota,33.34,-91.23
110135,MC GEHEE 1 1,31,AR,115,PQ,1.02886,118.319,-29.5,5.5,31,1.2,,,,0,0,1,1,Adrian,Lenawee County,Michigan,33.64,-91.28
110136,MC GEHEE 1 2,31,AR,18,PQ,1.02886,18.519,-29.5,,31,,,,,0,0,1,1,Advance,Boone County,Indiana,33.64,-91.28
110137,MC GEHEE 1 3,31,AR,18,PQ,1.02886,18.519,-29.5,,31,,,,,0,0,1,1,Ady,Potter County,Texas,33.64,-91.28
110138,MC GEHEE 1 4,31,AR,1,PQ,1.02886,1.029,-29.5,,31,,,,,0,0,1,1,Afeman,Rapides Parish,Louisiana,33.64,-91.28
110139,MC GEHEE 2 1,32,AR,115,PQ,1.02793,118.212,-29.89,6,32,1.4,,,,0,0,1,1,Afeman,Rapides Parish,Louisiana,33.58,-91.29
110140,MC GEHEE 2 2,32,AR,13.8,PQ,1.02428,14.135,-30.44,5.9,32,1.9,,,,0,0,1,1,Affton,St. Louis County,Missouri,33.58,-91.29
110141,MC GEHEE 2 3,32,AR,13.8,PQ,1.02794,14.186,-29.89,,32,,,,,0,0,1,1,Affton,St. Louis County,Missouri,33.58,-91.29
110142,MC GEHEE 2 4,32,AR,1,PQ,1.02794,1.028,-29.89,,32,,,,,0,0,1,1,Affton,St. Louis County,Missouri,33.58,-91.29
110143,MC GEHEE 3 1,33,AR,115,PQ,1.0273,118.139,-29.24,6.2,33,3.2,,,,0,0,1,1,Afton,Delaware County,Oklahoma,33.65,-91.37
110144,MC GEHEE 3 2,33,AR,13.8,PQ,1.0273,14.177,-29.24,,33,,,,,0,0,1,1,Afton,Ottawa County,Oklahoma,33.65,-91.37
110145,MC GEHEE 3 3,33,AR,13.8,PQ,1.0273,14.177,-29.24,,33,,,,,0,0,1,1,Afton,Washington County,Minnesota,33.65,-91.37
110146,MC GEHEE 3 4,33,AR,1,PQ,1.0273,1.027,-29.24,,33,,,,,0,0,1,1,Agawam,Grady County,Oklahoma,33.65,-91.37
110147,MONTICELLO 5 1,34,AR,115,PQ,1.02355,117.708,-29.17,14.6,34,3.6,,,,0,0,1,1,Agency,Buchanan County,Missouri,33.53,-91.73
110148,MONTICELLO 5 2,34,AR,22,PQ,1.0158,22.348,-29.94,11.4,34,5.8,,,,0,0,1,1,Agency,Buchanan County,Missouri,33.53,-91.73
110149,MONTICELLO 5 3,34,AR,22,PQ,1.02382,22.524,-29.15,,34,,,,,0,0,1,1,Agency,Buchanan County,Missouri,33.53,-91.73
110150,MONTICELLO 5 4,34,AR,1,PQ,1.02382,1.024,-29.15,,34,,,,,0,0,1,1,Aiken,Jo Daviess County,Illinois,33.53,-91.73
110151,MONTICELLO 6 1,35,AR,115,PQ,1.02436,117.802,-28.35,11.2,35,2.5,,,,0,0,1,1,Aikins,Pottawatomie County,Kansas,33.64,-91.72
110152,MONTICELLO 6 2,35,AR,13.2,PQ,1.02436,13.522,-28.35,,35,,,,,0,0,1,1,Ainsworth,Brown County,Nebraska,33.64,-91.72
110153,MONTICELLO 6 3,35,AR,13.2,PQ,1.02436,13.522,-28.35,,35,,,,,0,0,1,1,Ainsworth,Brown County,Nebraska,33.64,-91.72
110154,MONTICELLO 6 4,35,AR,1,PQ,1.02436,1.024,-28.35,,35,,,,,0,0,1,1,Ainsworth,Brown County,Nebraska,33.64,-91.72
110155,MONTICELLO 7 1,36,AR,115,PQ,1.02316,117.663,-27.57,10,36,3.6,,,,0,0,1,1,Ainsworth,Brown County,Nebraska,33.72,-91.76
110156,MONTICELLO 7 2,36,AR,22,PQ,1.01516,22.334,-28.71,13.5,36,4.5,,,,0,0,1,1,Ainsworth,Brown County,Nebraska,33.72,-91.76
110157,MONTICELLO 7 3,36,AR,22,PQ,1.02393,22.526,-27.46,,36,,,,,0,0,1,1,Airlie,Pipestone County,Minnesota,33.72,-91.76
110158,MONTICELLO 7 4,36,AR,1,PQ,1.02393,1.024,-27.46,,36,,,,,0,0,1,1,Airlie,Pipestone County,Minnesota,33.72,-91.76
110159,MONTICELLO 8 1,37,AR,161,PQ,1.02862,165.608,-27.12,,37,,,,,0,0,1,1,Airlie,Pipestone County,Minnesota,33.64,-91.73
110160,MONTICELLO 8 2,37,AR,115,PQ,1.02415,117.777,-28.1,12,37,3.7,,,,0,0,1,1,Airlie,Pipestone County,Minnesota,33.64,-91.73
110161,MONTICELLO 8 3,37,AR,13.8,PQ,1.0218,14.101,-28.94,11.6,37,1.2,,,,0,0,1,1,Airlie,Pipestone County,Minnesota,33.64,-91.73
110162,MONTICELLO 8 4,37,AR,13.8,PQ,1.0242,14.134,-28.09,,37,,,,,0,0,1,1,Airlie,Pipestone County,Minnesota,33.64,-91.73
110163,MONTICELLO 8 5,37,AR,1,PQ,1.0242,1.024,-28.09,,37,,,,,0,0,1,1,Airlie,Pipestone County,Minnesota,33.64,-91.73
110164,MONTROSE 1 1,38,AR,115,PQ,1.02598,117.988,-30.86,1.9,38,0.8,,,,0,0,1,1,Airlie,Pipestone County,Minnesota,33.34,-91.57
110165,MONTROSE 1 2,38,AR,13.8,PQ,1.02598,14.159,-30.86,,38,,,,,0,0,1,1,Airlie,Pipestone County,Minnesota,33.34,-91.57
110166,MONTROSE 1 3,38,AR,13.8,PQ,1.02598,14.159,-30.86,,38,,,,,0,0,1,1,Airlie,Pipestone County,Minnesota,33.34,-91.57
