Load
BusNum,BusName,ID,MW,SMW,Mvar,SMvar,AreaName
110338,FOUKE 3 2,D,6.90,6.90,1.90,1.900,AR
110342,HORATIO 1 1,D,3.20,3.20,1.00,1.000,AR
110343,HORATIO 1 2,1,2.90,2.90,1.40,1.400,AR
110346,HORATIO 2 1,D,2.80,2.80,0.30,0.300,AR
110351,HORATIO 3 2,D,4.00,4.00,0.70,0.700,AR
110355,LEWISVILLE 1 1,D,3.50,3.50,0.90,0.900,AR
110356,LEWISVILLE 1 2,1,3.40,3.40,0.80,0.800,AR
110359,LEWISVILLE 2 1,D,3.50,3.50,1.10,1.100,AR
110360,NASHVILLE 6 1,D,13.00,13.00,6.80,6.800,AR
110362,NASHVILLE 7 2,D,8.20,8.20,3.20,3.200,AR
110363,NASHVILLE 8 1,D,11.20,11.20,2.80,2.800,AR
110364,OGDEN 1 1,D,1.30,1.30,0.40,0.400,AR
110365,OZAN 1,D,2.90,2.90,0.40,0.400,AR
110366,ROSSTON 1 1,D,4.80,4.80,0.70,0.700,AR
110367,ROSSTON 2 1,D,2.00,2.00,0.60,0.600,AR
110368,SARATOGA 3 1,D,1.60,1.60,0.20,0.200,AR
110369,HOT SPRINGS VILLAGE 1 1,D,11.10,11.10,2.60,2.600,AR
110370,HOT SPRINGS VILLAGE 2 1,D,15.40,15.40,1.20,1.200,AR
110371,HOT SPRINGS VILLAGE 3 1,D,15.00,15.00,2.10,2.100,AR
110373,HOT SPRINGS VILLAGE 4 2,D,13.00,13.00,3.00,3.000,AR
110375,AMITY 1 2,D,6.70,6.70,1.10,1.100,AR
110378,AMITY 2 1,D,5.10,5.10,2.40,2.400,AR
110379,AMITY 3 1,D,4.80,4.80,0.90,0.900,AR
110380,BONNERDALE 1 1,D,0.80,0.80,0.10,0.100,AR
110381,BONNERDALE 2 1,D,1.70,1.70,0.50,0.500,AR
110382,COVE 1 1,D,2.70,2.70,0.30,0.300,AR
110383,COVE 2 1,D,1.90,1.90,0.40,0.400,AR
110384,COVE 3 1,D,3.00,3.00,0.90,0.900,AR
110385,DONALDSON 1 1,D,5.00,5.00,0.20,0.200,AR
110386,DONALDSON 2 1,D,2.40,2.40,0.10,0.100,AR
110387,JESSIEVILLE 1 1,D,2.60,2.60,0.60,0.600,AR
110388,JESSIEVILLE 2 1,D,2.80,2.80,1.10,1.100,AR
110389,JESSIEVILLE 3 1,D,1.80,1.80,0.20,0.200,AR
110390,KIRBY 1 1,D,3.20,3.20,0.80,0.800,AR
110392,MENA 1 2,D,13.60,13.60,2.70,2.700,AR
110395,MENA 2 3,D,16.50,16.50,5.00,5.000,AR
110396,MENA 3 1,D,12.70,12.70,1.40,1.400,AR
110397,MOUNT IDA 1 1,D,2.90,2.90,0.50,0.500,AR
110398,MOUNT IDA 2 1,D,5.10,5.10,1.30,1.300,AR
110400,MOUNT IDA 3 2,D,7.20,7.20,2.50,2.500,AR
110401,NORMAN 1 1,D,2.20,2.20,0.50,0.500,AR
110402,NORMAN 2 1,D,2.40,2.40,0.70,0.700,AR
110403,WICKES 1 1,D,1.30,1.30,0.10,0.100,AR
110404,WICKES 2 1,D,3.40,3.40,2.70,2.700,AR
110405,WICKES 3 1,D,2.00,2.00,0.30,0.300,AR
110406,ADONA 1 1,D,1.00,1.00,0.10,0.100,AR
110407,ALEXANDER 1 1,D,16.70,16.70,6.70,6.700,AR
110408,ALEXANDER 2 1,D,18.80,18.80,10.20,10.200,AR
110409,ALEXANDER 3 1,D,15.90,15.90,6.20,6.200,AR
110410,ALMYRA 1,D,3.00,3.00,0.30,0.300,AR
110411,ALTHEIMER 1 1,D,0.80,0.80,0.00,0.000,AR
110412,ALTHEIMER 2 1,D,3.40,3.40,0.30,0.300,AR
110413,AUGUSTA 1 1,D,3.70,3.70,0.70,0.700,AR
110414,AUGUSTA 2 1,D,6.00,6.00,0.80,0.800,AR
110415,AUSTIN 1 1,D,7.10,7.10,1.60,1.600,AR
110416,AUSTIN 2 1,D,6.60,6.60,1.00,1.000,AR
110417,AUSTIN 3 1,D,8.40,8.40,0.30,0.300,AR
110418,BAUXITE 1 1,D,4.10,4.10,1.00,1.000,AR
110419,BAUXITE 2 1,D,4.80,4.80,0.20,0.200,AR
110420,BEE BRANCH 1,D,4.70,4.70,3.10,3.100,AR
110421,BENTON 4 1,D,22.10,22.10,10.40,10.400,AR
110422,BENTON 5 1,D,16.50,16.50,7.90,7.900,AR
110424,BENTON 6 2,D,19.90,19.90,6.00,6.000,AR
110427,BENTON 7 1,D,18.90,18.90,9.70,9.700,AR
110428,CABOT 1 1,D,31.20,31.20,5.50,5.500,AR
110429,CABOT 2 1,D,35.20,35.20,11.40,11.400,AR
110431,CABOT 3 2,D,23.10,23.10,5.10,5.100,AR
110432,CABOT 4 1,D,28.20,28.20,9.10,9.100,AR
110435,CLINTON 4 3,D,17.80,17.80,7.40,7.400,AR
110436,CLINTON 5 1,D,11.30,11.30,9.10,9.100,AR
110437,CONWAY 1 1,D,4.90,4.90,3.00,3.000,AR
110438,CONWAY 2 1,D,1.20,1.20,0.10,0.100,AR
110439,DAMASCUS 1 1,D,2.30,2.30,0.60,0.600,AR
110441,DAMASCUS 2 2,D,6.60,6.60,1.50,1.500,AR
110442,DES ARC 1 1,D,7.40,7.40,0.20,0.200,AR
110443,DES ARC 2 1,D,4.70,4.70,1.40,1.400,AR
110444,EL PASO 1 1,D,4.70,4.70,1.90,1.900,AR
110446,ENGLAND 1 2,D,5.20,5.20,0.90,0.900,AR
110447,ENGLAND 2 1,D,5.90,5.90,2.30,2.300,AR
110448,ENGLAND 3 1,D,5.40,5.40,1.40,1.400,AR
110449,FOX 1,D,2.60,2.60,0.50,0.500,AR
110450,GILLETT 1 1,D,1.00,1.00,0.20,0.200,AR
110451,GILLETT 2 1,D,2.60,2.60,1.10,1.100,AR
110452,GRIFFITHVILLE 1,D,1.90,1.90,0.90,0.900,AR
110453,HAZEN 1 1,D,2.70,2.70,2.00,2.000,AR
110454,HAZEN 2 1,D,4.80,4.80,1.00,1.000,AR
110455,HAZEN 3 1,D,2.10,2.10,0.50,0.500,AR
110456,HIGDEN 1 1,D,3.30,3.30,0.20,0.200,AR
110457,HIGDEN 2 1,D,2.60,2.60,0.10,0.100,AR
110459,HIGDEN 3 2,D,3.60,3.60,0.40,0.400,AR
110460,HOLLY GROVE 1,D,5.30,5.30,1.60,1.600,AR
110461,HOUSTON 1 1,D,4.50,4.50,1.30,1.300,AR
110462,HOUSTON 2 1,D,2.10,2.10,0.40,0.400,AR
110463,HOUSTON 3 1,D,3.00,3.00,0.80,0.800,AR
110464,HUMNOKE 1,D,1.80,1.80,0.70,0.700,AR
110465,HUMPHREY 1 1,D,1.20,1.20,0.30,0.300,AR
110466,HUMPHREY 2 1,D,1.20,1.20,0.00,0.000,AR
110467,JACKSONVILLE 1 1,D,36.10,36.10,3.70,3.700,AR
110469,JACKSONVILLE 2 2,D,32.90,32.90,10.20,10.200,AR
110470,JACKSONVILLE 3 1,D,33.50,33.50,8.70,8.700,AR
110472,JACKSONVILLE 4 2,D,35.30,35.30,11.00,11.000,AR
110473,JUDSONIA 1 1,D,10.10,10.10,1.10,1.100,AR
110474,JUDSONIA 2 1,D,10.20,10.20,0.90,0.900,AR
110476,JUDSONIA 3 2,D,8.40,8.40,3.30,3.300,AR
110477,LONSDALE 1 1,D,2.10,2.10,0.20,0.200,AR
110478,LONSDALE 2 1,D,2.50,2.50,1.10,1.100,AR
110479,LONSDALE 3 1,D,3.00,3.00,0.80,0.800,AR
110480,FAIRFIELD BAY 1 1,D,2.60,2.60,1.20,1.200,AR
110481,FAIRFIELD BAY 2 1,D,2.50,2.50,0.30,0.300,AR
110482,FAIRFIELD BAY 3 1,D,2.50,2.50,1.00,1.000,AR
110483,MC CRORY 1 1,D,5.80,5.80,1.20,1.200,AR
110484,MC CRORY 2 1,D,4.90,4.90,1.50,1.500,AR
110485,MC CRORY 3 1,D,5.40,5.40,1.80,1.800,AR
110487,MABELVALE 1 2,D,21.00,21.00,4.70,4.700,AR
110488,MABELVALE 2 1,D,13.30,13.30,4.00,4.000,AR
110489,MABELVALE 3 1,D,14.80,14.80,3.40,3.400,AR
110490,MOUNT VERNON 1 1,D,1.20,1.20,0.10,0.100,AR
110491,MOUNT VERNON 2 1,D,2.90,2.90,1.00,1.000,AR
110492,MAUMELLE 1 1,D,20.90,20.90,11.00,11.000,AR
110493,MAUMELLE 2 1,D,20.60,20.60,9.40,9.400,AR
110494,MAUMELLE 3 1,D,21.20,21.20,3.30,3.300,AR
110495,MAUMELLE 4 1,D,20.70,20.70,4.40,4.400,AR
110496,NORTH LITTLE ROCK 1 1,D,12.10,12.10,3.70,3.700,AR
110498,NORTH LITTLE ROCK 2 2,D,30.00,30.00,10.00,10.000,AR
110499,NORTH LITTLE ROCK 3 1,D,19.40,19.40,3.60,3.600,AR
110500,NORTH LITTLE ROCK 4 1,D,20.90,20.90,4.00,4.000,AR
110501,SHERWOOD 1 1,D,31.00,31.00,12.60,12.600,AR
110504,SHERWOOD 2 3,D,26.80,26.80,20.00,20.000,AR
110505,SHERWOOD 3 1,D,24.20,24.20,7.20,7.200,AR
110506,SHERWOOD 4 1,D,31.40,31.40,7.10,7.100,AR
110507,PARON 1,D,1.20,1.20,0.40,0.400,AR
110508,POYEN 1,D,1.00,1.00,0.30,0.300,AR
110509,PRATTSVILLE 1 1,D,2.50,2.50,0.70,0.700,AR
110510,PRATTSVILLE 2 1,D,4.70,4.70,0.70,0.700,AR
110511,REDFIELD 1 1,D,3.80,3.80,1.70,1.700,AR
110512,REDFIELD 2 1,D,3.60,3.60,0.50,0.500,AR
110513,REDFIELD 3 1,D,3.90,3.90,0.70,0.700,AR
110514,ROLAND 1 1,D,3.30,3.30,0.10,0.100,AR
110515,ROLAND 2 1,D,2.40,2.40,0.90,0.900,AR
110516,ROLAND 3 1,D,3.70,3.70,0.40,0.400,AR
110517,ROMANCE 1 1,D,2.30,2.30,1.00,1.000,AR
110518,ROMANCE 2 1,D,2.20,2.20,0.60,0.600,AR
110519,ROMANCE 3 1,D,1.80,1.80,0.80,0.800,AR
110520,ROSE BUD 1 1,D,3.30,3.30,0.40,0.400,AR
110522,ROSE BUD 2 2,D,2.90,2.90,1.00,1.000,AR
110523,ROSE BUD 3 1,D,2.60,2.60,1.50,1.500,AR
110524,SCOTT 1 1,D,2.20,2.20,1.00,1.000,AR
110525,SCOTT 2 1,D,2.40,2.40,1.00,1.000,AR
110526,SCOTT 3 1,D,3.50,3.50,1.50,1.500,AR
110527,SHERRILL 1,D,1.80,1.80,0.40,0.400,AR
110528,STUTTGART 1 1,D,12.10,12.10,2.80,2.800,AR
110530,STUTTGART 2 2,D,14.30,14.30,2.20,2.200,AR
110531,STUTTGART 3 1,D,12.90,12.90,1.60,1.600,AR
110532,TUCKER 1 1,D,4.40,4.40,1.60,1.600,AR
110533,TUCKER 2 1,D,2.40,2.40,0.40,0.400,AR
110535,WARD 1 2,D,8.50,8.50,1.30,1.300,AR
110536,WARD 2 1,D,9.40,9.40,2.20,2.200,AR
110537,WARD 3 1,D,9.50,9.50,1.90,1.900,AR
110538,LITTLE ROCK 1 1,D,2.90,2.90,0.70,0.700,AR
110539,LITTLE ROCK 2 1,D,27.70,27.70,9.90,9.900,AR
110540,LITTLE ROCK 3 1,D,29.40,29.40,1.30,1.300,AR
110542,LITTLE ROCK 4 2,D,33.30,33.30,8.70,8.700,AR
110544,LITTLE ROCK 5 2,D,28.00,28.00,4.30,4.300,AR
110545,LITTLE ROCK 6 1,D,22.70,22.70,7.40,7.400,AR
110547,LITTLE ROCK 7 2,D,22.70,22.70,3.00,3.000,AR
110548,LITTLE ROCK 8 1,D,21.40,21.40,6.60,6.600,AR
110549,LITTLE ROCK 9 1,D,18.60,18.60,0.90,0.900,AR
110550,LITTLE ROCK 10 1,D,12.70,12.70,2.90,2.900,AR
110551,LITTLE ROCK 11 1,D,11.10,11.10,2.90,2.900,AR
110552,LITTLE ROCK 12 1,D,18.90,18.90,4.30,4.300,AR
110553,LITTLE ROCK 13 1,D,21.00,21.00,2.00,2.000,AR
110554,LITTLE ROCK 14 1,D,19.90,19.90,1.20,1.200,AR
110555,LITTLE ROCK 15 1,D,14.50,14.50,8.60,8.600,AR
110556,LITTLE ROCK 16 1,D,10.00,10.00,3.90,3.900,AR
110557,LITTLE ROCK 17 1,D,14.60,14.60,0.60,0.600,AR
110559,LITTLE ROCK 18 2,D,16.40,16.40,5.30,5.300,AR
110560,COLT 1 1,D,3.10,3.10,0.80,0.800,AR
110561,COLT 2 1,D,2.40,2.40,0.50,0.500,AR
110562,COLT 3 1,D,2.80,2.80,2.10,2.100,AR
110563,EARLE 1 1,D,3.10,3.10,0.60,0.600,AR
110565,EARLE 2 2,D,3.30,3.30,0.80,0.800,AR
110566,EARLE 3 1,D,3.50,3.50,2.20,2.200,AR
110567,HELENA 1 1,D,6.70,6.70,0.70,0.700,AR
110568,HELENA 2 1,D,6.40,6.40,1.00,1.000,AR
110569,HELENA 3 1,D,11.70,11.70,7.60,7.600,AR
110570,HICKORY RIDGE 1,D,3.20,3.20,0.60,0.600,AR
110571,HUGHES 1 1,D,3.20,3.20,0.80,0.800,AR
110572,HUGHES 2 1,D,4.20,4.20,1.80,1.800,AR
110573,HUGHES 3 1,D,3.10,3.10,1.80,1.800,AR
110574,LEXA 1 1,D,3.10,3.10,0.90,0.900,AR
110575,LEXA 2 1,D,3.90,3.90,1.30,1.300,AR
110576,MADISON 3 1,D,1.10,1.10,0.70,0.700,AR
110577,MARIANNA 1 1,D,8.00,8.00,2.10,2.100,AR
110579,MARIANNA 2 2,D,5.80,5.80,0.10,0.100,AR
110580,MARIANNA 3 1,D,7.70,7.70,0.70,0.700,AR
110581,MARKED TREE 1 1,D,4.10,4.10,0.70,0.700,AR
110582,MARKED TREE 2 1,D,3.80,3.80,0.60,0.600,AR
110583,MELLWOOD 1,D,0.70,0.70,0.10,0.100,AR
110584,MORO 1 1,D,1.90,1.90,0.10,0.100,AR
110585,MORO 2 1,D,1.80,1.80,0.10,0.100,AR
110586,MORO 3 1,D,1.60,1.60,0.80,0.800,AR
110587,PARKIN 1 1,D,1.60,1.60,0.30,0.300,AR
110588,PARKIN 2 1,D,3.70,3.70,0.60,0.600,AR
110589,POPLAR GROVE 1 1,D,1.40,1.40,0.30,0.300,AR
110590,TURRELL 1 1,D,3.40,3.40,0.50,0.500,AR
110591,TURRELL 2 1,D,1.20,1.20,0.30,0.300,AR
110593,WEST HELENA 1 2,D,11.30,11.30,1.90,1.900,AR
110594,WEST HELENA 2 1,D,9.30,9.30,1.80,1.800,AR
110595,WEST HELENA 3 1,D,4.40,4.40,1.60,1.600,AR
110596,WIDENER 1,D,2.50,2.50,0.70,0.700,AR
110597,WYNNE 1 1,D,17.80,17.80,5.80,5.800,AR
110598,WYNNE 2 1,D,16.20,16.20,0.30,0.300,AR
110600,WYNNE 3 2,D,15.30,15.30,3.00,3.000,AR
110601,BONO 1 1,D,6.90,6.90,0.60,0.600,AR
110602,BONO 2 1,D,7.60,7.60,1.30,1.300,AR
110603,BONO 3 1,D,6.10,6.10,0.40,0.400,AR
110604,CASH 1,D,1.30,1.30,0.30,0.300,AR
110605,DELAPLAINE 1,D,1.30,1.30,0.90,0.900,AR
110606,FISHER 1 1,D,2.30,2.30,0.80,0.800,AR
110607,HARRISBURG 2 1,D,7.80,7.80,3.00,3.000,AR
110608,HARRISBURG 3 1,D,7.10,7.10,0.70,0.700,AR
110610,HARRISBURG 4 2,D,5.90,5.90,0.70,0.700,AR
110611,KNOBEL 1,D,1.80,1.80,0.40,0.400,AR
110612,LAKE CITY 1 1,D,6.70,6.70,3.20,3.200,AR
110613,LAKE CITY 2 1,D,5.00,5.00,1.70,1.700,AR
110614,MONETTE 1 1,D,2.50,2.50,0.30,0.300,AR
110615,MONETTE 2 1,D,2.60,2.60,0.60,0.600,AR
110617,PARAGOULD 1 2,D,30.80,30.80,17.60,17.600,AR
110621,PARAGOULD 2 2,D,39.10,39.10,12.80,12.800,AR
110623,PARAGOULD 3 2,D,32.40,32.40,10.40,10.400,AR
110627,PARAGOULD 4 4,D,37.90,37.90,7.90,7.900,AR
110628,POLLARD 1 1,D,1.20,1.20,0.30,0.300,AR
110629,POLLARD 2 1,D,1.40,1.40,0.30,0.300,AR
110630,POWHATAN 1,D,3.40,3.40,1.70,1.700,AR
110631,RAVENDEN SPRINGS 1,D,1.90,1.90,0.40,0.400,AR
110632,RECTOR 1 1,D,3.20,3.20,0.20,0.200,AR
110633,RECTOR 2 1,D,5.20,5.20,1.60,1.600,AR
110634,RECTOR 3 1,D,3.90,3.90,1.20,1.200,AR
110635,TRUMANN 1 1,D,12.20,12.20,0.30,0.300,AR
110637,TRUMANN 2 2,D,12.60,12.60,3.20,3.200,AR
110638,TRUMANN 3 1,D,10.90,10.90,1.00,1.000,AR
110639,TUCKERMAN 1 1,D,4.10,4.10,0.50,0.500,AR
110640,TUCKERMAN 2 1,D,3.00,3.00,0.30,0.300,AR
110641,TUCKERMAN 3 1,D,1.90,1.90,0.40,0.400,AR
110642,WALNUT RIDGE 1 1,D,9.90,9.90,4.90,4.900,AR
110643,WALNUT RIDGE 2 1,D,9.20,9.20,3.00,3.000,AR
110645,WALNUT RIDGE 3 2,D,9.00,9.00,2.50,2.500,AR
110646,WARM SPRINGS 1,D,2.00,2.00,0.50,0.500,AR
110647,WEINER 1 1,D,2.40,2.40,0.80,0.800,AR
110648,WEINER 2 1,D,4.40,4.40,0.30,0.300,AR
110650,WILLIFORD 1 2,D,3.30,3.30,1.50,1.500,AR
110651,WILLIFORD 2 1,D,1.30,1.30,0.20,0.200,AR
110652,HORSESHOE BEND 1 1,D,2.80,2.80,0.60,0.600,AR
110653,HORSESHOE BEND 2 1,D,3.10,3.10,0.40,0.400,AR
110654,HORSESHOE BEND 3 1,D,2.60,2.60,1.40,1.400,AR
110655,BROCKWELL 1,D,2.20,2.20,0.80,0.800,AR
110656,FLORAL 1 1,D,2.50,2.50,1.30,1.300,AR
110657,FLORAL 2 1,D,4.50,4.50,0.90,0.900,AR
110658,LOCUST GROVE 1 1,D,1.90,1.90,0.60,0.600,AR
110659,LOCUST GROVE 2 1,D,3.30,3.30,0.30,0.300,AR
110660,MELBOURNE 1 1,D,4.80,4.80,2.60,2.600,AR
110661,MELBOURNE 2 1,D,4.30,4.30,0.80,0.800,AR
110663,MELBOURNE 3 2,D,3.80,3.80,1.10,1.100,AR
110666,MOUNTAIN VIEW 4 1,D,5.30,5.30,0.40,0.400,AR
110668,MOUNTAIN VIEW 5 2,D,11.50,11.50,1.50,1.500,AR
110669,MOUNTAIN VIEW 6 1,D,9.60,9.60,1.70,1.700,AR
110670,NEWARK 1 1,D,3.90,3.90,1.00,1.000,AR
110671,NEWARK 2 1,D,3.20,3.20,0.70,0.700,AR
110672,NEWARK 3 1,D,6.60,6.60,2.00,2.000,AR
110673,OIL TROUGH 1,D,1.80,1.80,0.30,0.300,AR
110674,SIDNEY 1 1,D,2.40,2.40,0.50,0.500,AR
110675,SULPHUR ROCK 1,D,4.60,4.60,1.60,1.600,AR
110676,TUMBLING SHOALS 1 1,D,3.90,3.90,2.40,2.400,AR
110677,VIOLET HILL 1,D,2.60,2.60,0.30,0.300,AR
110678,ALPENA 1 1,D,1.90,1.90,0.60,0.600,AR
110679,ALPENA 2 1,D,2.10,2.10,1.00,1.000,AR
110680,ALPENA 3 1,D,2.10,2.10,0.10,0.100,AR
110681,BULL SHOALS 1 1,D,3.20,3.20,0.30,0.300,AR
110682,BULL SHOALS 2 1,D,3.70,3.70,2.70,2.700,AR
