Gen
Number of Bus,Name of Bus,ID,Area Name of Gen,AGC,Fast Start,OPF Fast Start Status,OPF MW Control,Gen MW,Cost Shift $/MWh,Cost Multiplier,Cost $/Hr (generation only),MW Marg. Cost of Bus,IC for OPF,Initial MW,Initial Cost,Delta MW,Delta Cost,Min MW,Max MW,Cost Model,# Cost Curve Points,Fuel Type,Profit $/hr
110976,Harry L. Oswald 14,1,AR,YES,NO,,If Agcable,40.4,0.000,1.000,1569.46,-1.44,36.73,40.4,1569.46,0.0,-0.00,40.4,105.0,Piecewise Linear,5,NG (Natural Gas),-1627.79
110980,Union Power Station 4,1,AR,YES,NO,,If Agcable,46.0,0.000,1.000,4025.58,-1.45,82.72,46.0,4025.58,0.0,0.00,46.0,176.0,Piecewise Linear,5,NG (Natural Gas),-4092.36
110981,Union Power Station 5,1,AR,YES,NO,,If Agcable,76.9,0.000,1.000,7882.89,-1.45,99.62,76.9,7882.89,0.0,-0.00,76.9,176.0,Piecewise Linear,5,NG (Natural Gas),-7994.56
110982,Union Power Station 6,1,AR,YES,NO,,If Agcable,37.9,0.000,1.000,3199.16,-1.45,78.55,37.9,3199.16,0.0,-0.00,37.9,176.0,Piecewise Linear,5,NG (Natural Gas),-3254.20
110983,Union Power Station 7,1,AR,YES,NO,,If Agcable,23.7,0.000,1.000,1943.00,-1.45,72.55,23.7,1943.00,0.0,0.00,23.7,176.0,Piecewise Linear,5,NG (Natural Gas),-1977.45
110984,Union Power Station 8,1,AR,YES,NO,,If Agcable,23.9,0.000,1.000,1946.97,-1.45,72.17,23.9,1946.97,0.0,0.00,23.9,176.0,Piecewise Linear,5,NG (Natural Gas),-1981.69
110985,Union Power Station 9,1,AR,YES,NO,,If Agcable,78.7,0.000,1.000,8197.34,-1.45,101.35,78.7,8197.34,0.0,0.00,78.7,176.0,Piecewise Linear,5,NG (Natural Gas),-8311.63
110986,Union Power Station 10,1,AR,YES,NO,,If Agcable,52.2,0.000,1.000,4727.69,-1.45,86.38,52.2,4727.69,0.0,-0.00,52.2,176.0,Piecewise Linear,5,NG (Natural Gas),-4803.45
110987,Union Power Station 11,1,AR,YES,NO,,If Agcable,30.9,0.000,1.000,2543.18,-1.45,75.14,30.9,2543.18,0.0,0.00,30.9,176.0,Piecewise Linear,5,NG (Natural Gas),-2588.05
110988,Union Power Station 12,1,AR,YES,NO,,If Agcable,92.7,0.000,1.000,3827.10,-1.45,39.09,92.7,3827.10,0.0,-0.00,92.7,255.0,Piecewise Linear,5,NG (Natural Gas),-3961.70
110989,Union Power Station 13,1,AR,YES,NO,,If Agcable,124.8,0.000,1.000,5360.57,-1.45,41.33,124.8,5360.57,0.0,0.00,124.8,255.0,Piecewise Linear,5,NG (Natural Gas),-5541.72
110990,Union Power Station 14,1,AR,YES,NO,,If Agcable,57.0,0.000,1.000,2435.61,-1.45,39.14,57.0,2435.61,0.0,0.00,57.0,255.0,Piecewise Linear,5,NG (Natural Gas),-2518.41
110991,Union Power Station 15,1,AR,YES,NO,,If Agcable,120.1,0.000,1.000,5093.92,-1.45,40.71,120.1,5093.92,0.0,-0.00,120.1,255.0,Piecewise Linear,5,NG (Natural Gas),-5268.32
110995,Hot Spring Generating Facility 4,1,AR,YES,NO,,If Agcable,44.8,0.000,1.000,4638.16,-1.43,97.84,44.8,4638.16,0.0,0.00,44.8,198.9,Piecewise Linear,5,NG (Natural Gas),-4702.31
110996,Hot Spring Generating Facility 5,1,AR,YES,NO,,If Agcable,22.9,0.000,1.000,2239.10,-1.43,86.93,22.9,2239.10,0.0,-0.00,22.9,198.9,Piecewise Linear,5,NG (Natural Gas),-2271.82
110997,Hot Spring Generating Facility 6,1,AR,YES,NO,,If Agcable,74.2,0.000,1.000,3766.19,-1.43,47.31,74.2,3766.19,0.0,0.00,74.2,317.0,Piecewise Linear,5,NG (Natural Gas),-3872.39
111001,Magnet Cove 4,1,AR,YES,NO,,If Agcable,59.9,0.000,1.000,6291.60,-1.43,99.97,59.9,6291.60,0.0,0.00,59.9,242.0,Piecewise Linear,5,NG (Natural Gas),-6377.31
111002,Magnet Cove 5,1,AR,YES,NO,,If Agcable,101.7,0.000,1.000,12608.05,-1.43,120.97,101.7,12608.05,0.0,-0.00,101.7,242.0,Piecewise Linear,5,NG (Natural Gas),-12753.60
111003,Magnet Cove 6,1,AR,YES,NO,,If Agcable,51.7,0.000,1.000,2669.74,-1.43,47.58,51.7,2669.74,0.0,0.00,51.7,262.0,Piecewise Linear,5,NG (Natural Gas),-2743.74
111005,Riceland Foods Cogeneration Plant 2,1,AR,YES,NO,,If Agcable,8.3,0.000,1.000,132.78,-1.46,15.94,8.3,132.78,0.0,0.00,8.3,18.0,Piecewise Linear,5,OBS (Other Biomass Solids),-144.94
111007,Columbia Flooring Melbourne 2,1,AR,YES,NO,,If Agcable,0.7,0.000,1.000,17.88,-1.46,25.54,0.7,17.88,0.0,0.00,0.7,2.0,Piecewise Linear,5,WDS (Wood/Wood Waste Solids),-18.90
111011,Harry D Mattison Gas Plant 4,1,AR,YES,NO,,If Agcable,29.0,0.000,1.000,6916.43,-1.36,234.41,29.0,6916.43,0.0,0.00,29.0,86.5,Piecewise Linear,5,NG (Natural Gas),-6955.83
111012,Harry D Mattison Gas Plant 5,1,AR,YES,NO,,If Agcable,31.7,0.000,1.000,7853.60,-1.36,244.15,31.7,7853.60,0.0,-0.00,31.7,86.5,Piecewise Linear,5,NG (Natural Gas),-7896.64
111013,Harry D Mattison Gas Plant 6,1,AR,YES,NO,,If Agcable,31.3,0.000,1.000,7585.45,-1.36,238.57,31.3,7585.45,0.0,-0.00,31.3,88.0,Piecewise Linear,5,NG (Natural Gas),-7627.96
111014,Harry D Mattison Gas Plant 7,1,AR,YES,NO,,If Agcable,19.2,0.000,1.000,4037.09,-1.36,203.95,19.2,4037.09,0.0,-0.00,19.2,88.0,Piecewise Linear,5,NG (Natural Gas),-4063.21
111018,Plum Point Energy Station 4,1,AR,YES,NO,,If Agcable,169.4,0.000,1.000,4996.98,-1.50,20.72,169.4,4996.98,0.0,0.00,169.4,720.0,Piecewise Linear,5,SUB (Subbituminous Coal),-5250.50
111021,Elkins Generating Center 3,1,AR,YES,NO,,If Agcable,6.9,0.000,1.000,515.37,-1.37,70.16,6.9,515.37,0.0,0.00,6.9,22.0,Piecewise Linear,5,NG (Natural Gas),-524.88
111021,Elkins Generating Center 3,2,AR,YES,NO,,If Agcable,3.0,0.000,1.000,199.09,-1.37,57.30,3.0,199.09,0.0,0.00,3.0,22.0,Piecewise Linear,5,NG (Natural Gas),-203.18
111022,Elkins Generating Center 4,1,AR,YES,NO,,If Agcable,9.6,0.000,1.000,737.11,-1.37,74.20,9.6,737.11,0.0,-0.00,9.6,22.0,Piecewise Linear,5,NG (Natural Gas),-750.20
111026,Jonesboro City Water & Light Plant 4,1,AR,YES,NO,,If Agcable,9.2,0.000,1.000,917.15,-1.49,96.75,9.2,917.15,0.0,-0.00,9.2,24.5,Piecewise Linear,5,NG (Natural Gas),-930.80
111027,Jonesboro City Water & Light Plant 5,1,AR,YES,NO,,If Agcable,7.8,0.000,1.000,761.88,-1.49,94.70,7.8,761.88,0.0,-0.00,7.8,21.4,Piecewise Linear,5,NG (Natural Gas),-773.45
111027,Jonesboro City Water & Light Plant 5,2,AR,YES,NO,,If Agcable,24.8,0.000,1.000,2585.88,-1.49,101.15,24.8,2585.88,0.0,-0.00,24.8,60.5,Piecewise Linear,5,NG (Natural Gas),-2622.86
111028,Jonesboro City Water & Light Plant 6,1,AR,YES,NO,,If Agcable,22.0,0.000,1.000,2218.71,-1.49,97.78,22.0,2218.71,0.0,0.00,22.0,57.4,Piecewise Linear,5,NG (Natural Gas),-2251.43
111029,Jonesboro City Water & Light Plant 7,1,AR,YES,NO,,If Agcable,24.2,0.000,1.000,2473.40,-1.49,98.97,24.2,2473.40,0.0,-0.00,24.2,60.5,Piecewise Linear,5,NG (Natural Gas),-2509.50
111031,Two Pine Landfill Gas Recovery 2,1,AR,YES,NO,,If Agcable,0.3,0.000,1.000,10.00,-1.47,30.30,0.3,10.00,0.0,0.00,0.3,0.8,Piecewise Linear,5,LFG (Landfill Gas),-10.49
111032,Two Pine Landfill Gas Recovery 3,1,AR,YES,NO,,If Agcable,0.3,0.000,1.000,7.97,-1.48,30.64,0.3,7.97,0.0,0.00,0.3,0.8,Piecewise Linear,5,LFG (Landfill Gas),-8.35
111032,Two Pine Landfill Gas Recovery 3,2,AR,YES,NO,,If Agcable,0.1,0.000,1.000,4.46,-1.48,31.88,0.1,4.46,0.0,0.00,0.1,0.8,Piecewise Linear,5,LFG (Landfill Gas),-4.67
111033,Two Pine Landfill Gas Recovery 4,1,AR,YES,NO,,If Agcable,0.4,0.000,1.000,11.12,-1.48,30.90,0.4,11.12,0.0,0.00,0.4,0.8,Piecewise Linear,5,LFG (Landfill Gas),-11.66
111033,Two Pine Landfill Gas Recovery 4,2,AR,YES,NO,,If Agcable,0.1,0.000,1.000,3.10,-1.48,30.97,0.1,3.10,0.0,0.00,0.1,0.8,Piecewise Linear,5,LFG (Landfill Gas),-3.24
111034,Two Pine Landfill Gas Recovery 5,1,AR,YES,NO,,If Agcable,0.3,0.000,1.000,7.88,-1.47,29.20,0.3,7.88,0.0,0.00,0.3,0.8,Piecewise Linear,5,LFG (Landfill Gas),-8.28
111038,John W Turk Jr Power Plant 4,1,AR,YES,NO,,If Agcable,179.8,0.000,1.000,6769.60,-1.43,30.65,179.8,6769.60,0.0,-0.00,179.8,609.0,Piecewise Linear,5,SUB (Subbituminous Coal),-7027.24
111040,Waste Management Eco Vista LFGTE 2,1,AR,YES,NO,,If Agcable,0.2,0.000,1.000,7.34,-1.37,29.37,0.2,7.34,0.0,-0.00,0.2,0.8,Piecewise Linear,5,LFG (Landfill Gas),-7.69
111041,Waste Management Eco Vista LFGTE 3,1,AR,YES,NO,,If Agcable,0.1,0.000,1.000,4.06,-1.38,31.20,0.1,4.06,0.0,-0.00,0.1,0.8,Piecewise Linear,5,LFG (Landfill Gas),-4.23
111041,Waste Management Eco Vista LFGTE 3,2,AR,YES,NO,,If Agcable,0.3,0.000,1.000,8.06,-1.38,31.00,0.3,8.06,0.0,-0.00,0.3,0.8,Piecewise Linear,5,LFG (Landfill Gas),-8.42
111042,Waste Management Eco Vista LFGTE 4,1,AR,YES,NO,,If Agcable,0.4,0.000,1.000,10.83,-1.38,29.28,0.4,10.83,0.0,0.00,0.4,0.8,Piecewise Linear,5,LFG (Landfill Gas),-11.34
111042,Waste Management Eco Vista LFGTE 4,2,AR,YES,NO,,If Agcable,0.3,0.000,1.000,7.95,-1.38,29.43,0.3,7.95,0.0,0.00,0.3,0.8,Piecewise Linear,5,LFG (Landfill Gas),-8.32
111044,UA Central Utility Plant 2,1,AR,YES,NO,,If Agcable,2.5,0.000,1.000,193.37,-1.38,74.52,2.5,193.37,0.0,-0.00,2.5,5.6,Piecewise Linear,5,NG (Natural Gas),-196.81
111046,Ozarks Natural Energy Community Solar 2,1,AR,YES,NO,,If Agcable,0.0,0.000,1.000,0.00,-1.39,0.00,0.0,0.00,0.0,0.00,0.0,1.0,Piecewise Linear,5,SUN (Solar),0.00
111050,Stuttgart Solar 4,1,AR,YES,NO,,If Agcable,0.0,0.000,1.000,0.00,-1.46,0.00,0.0,0.00,0.0,0.00,0.0,81.0,Piecewise Linear,5,SUN (Solar),0.00
111052,FECC Solar Benton 2,1,AR,YES,NO,,If Agcable,0.0,0.000,1.000,0.00,-1.47,0.00,0.0,0.00,0.0,0.00,0.0,1.0,Piecewise Linear,5,SUN (Solar),0.00
111054,Noland Wastewater Treatment Plant Hybrid 2,1,AR,YES,NO,,If Agcable,0.0,0.000,1.000,0.00,-1.39,0.00,0.0,0.00,0.0,0.00,0.0,5.0,Piecewise Linear,5,SUN (Solar),0.00
111054,Noland Wastewater Treatment Plant Hybrid 2,2,AR,YES,NO,,If Agcable,2.3,0.000,1.000,18.82,-1.39,8.29,2.3,18.82,0.0,0.00,2.3,6.0,Piecewise Linear,5,MWH (Electricity use for Energy Storage),-21.96
111056,Westside Wastewater Treatment Plant Hybrid 2,1,AR,YES,NO,,If Agcable,0.0,0.000,1.000,0.00,-1.38,0.00,0.0,0.00,0.0,0.00,0.0,5.0,Piecewise Linear,5,SUN (Solar),0.00
111057,Westside Wastewater Treatment Plant Hybrid 3,1,AR,YES,NO,,If Agcable,0.9,0.000,1.000,4.92,-1.38,5.29,0.9,4.92,0.0,-0.00,0.9,6.0,Piecewise Linear,5,MWH (Electricity use for Energy Storage),-6.20
111059,Scenic Hill Solar IV  LLC 2,1,AR,YES,NO,,If Agcable,0.0,0.000,1.000,0.00,-1.41,0.00,0.0,0.00,0.0,0.00,0.0,2.2,Piecewise Linear,5,SUN (Solar),0.00
120356,Lansing 4,1,IA,YES,NO,,If Agcable,81.3,0.000,1.000,2650.45,-1.43,25.61,81.3,2650.45,0.0,-0.00,81.3,274.5,Piecewise Linear,5,SUB (Subbituminous Coal),-2766.46
120360,Duane Arnold Energy Center 4,1,IA,YES,NO,,If Agcable,270.0,0.000,1.000,3183.06,-1.37,11.79,270.0,3183.06,0.0,-0.00,270.0,679.5,Piecewise Linear,5,NUC (Nuclear),-3552.93
120362,Iowa Hydro LLC 2,1,IA,YES,NO,,If Agcable,0.3,0.000,1.000,1.51,-1.44,5.04,0.3,1.51,0.0,0.00,0.3,0.6,Piecewise Linear,5,WAT (Water),-1.94
120363,Iowa Hydro LLC 3,1,IA,YES,NO,,If Agcable,0.2,0.000,1.000,0.96,-1.44,5.03,0.2,0.96,0.0,0.00,0.2,0.6,Piecewise Linear,5,WAT (Water),-1.23
120365,Marshalltown 2,1,IA,YES,NO,,If Agcable,30.9,0.000,1.000,2754.88,-1.24,86.61,30.9,2754.88,0.0,0.00,30.9,63.0,Piecewise Linear,5,NG (Natural Gas),-2793.32
120366,Marshalltown 3,1,IA,YES,NO,,If Agcable,17.6,0.000,1.000,1087.36,-1.25,57.20,17.6,1087.36,0.0,0.00,17.6,63.0,Piecewise Linear,5,NG (Natural Gas),-1109.32
120367,Marshalltown 4,1,IA,YES,NO,,If Agcable,19.4,0.000,1.000,1447.85,-1.24,70.57,19.4,1447.85,0.0,0.00,19.4,63.0,Piecewise Linear,5,NG (Natural Gas),-1471.99
120369,Prairie Creek 2,1,IA,YES,NO,,If Agcable,5.9,0.000,1.000,214.77,-1.37,31.29,5.9,214.77,0.0,-0.00,5.9,14.6,Piecewise Linear,5,SUB (Subbituminous Coal),-222.86
120369,Prairie Creek 2,2,IA,YES,NO,,If Agcable,19.1,0.000,1.000,678.17,-1.37,30.13,19.1,678.17,0.0,0.00,19.1,50.0,Piecewise Linear,5,SUB (Subbituminous Coal),-704.32
120370,Prairie Creek 3,1,IA,YES,NO,,If Agcable,67.8,0.000,1.000,4362.73,-1.37,62.58,67.8,4362.73,0.0,-0.00,67.8,148.8,Piecewise Linear,5,NG (Natural Gas),-4455.37
