Load
Number of Bus,Name of Bus,ID,Area Name of Load,AGC,MW,Cost Shift $/MWh,Cost Multiplier,Hourly Benefit,MW Marg. Cost of Bus,HDR::Load_GenICost:1,Initial MW,Initial Cost,Delta MW,Delta Cost,Min MW,Max MW,# of Benefit Curve Points,Profit $/hr
110385,DONALDSON 1 1,D,AR,YES,5.0,0.000,1.000,154.37,-1.43,17.28,5.0,154.37,0.0,-0.00,0.0,11.1,4,161.50
110386,DONALDSON 2 1,D,AR,YES,2.4,0.000,1.000,86.01,-1.42,20.94,2.4,86.01,0.0,0.00,0.0,5.6,4,89.43
110387,JESSIEVILLE 1 1,D,AR,YES,2.6,0.000,1.000,84.60,-1.44,25.40,2.6,84.60,0.0,-0.00,0.0,5.3,4,88.34
110388,JESSIEVILLE 2 1,D,AR,YES,2.8,0.000,1.000,1057.44,-1.44,29.44,2.8,1057.44,0.0,0.00,0.0,5.3,4,1061.46
110389,JESSIEVILLE 3 1,D,AR,YES,1.8,0.000,1.000,181.51,-1.44,43.48,1.8,181.51,0.0,-0.00,0.0,5.3,4,184.09
110390,KIRBY 1 1,D,AR,YES,3.2,0.000,1.000,171.92,-1.40,18.20,3.2,171.92,0.0,-0.00,0.0,7.7,4,176.40
110392,MENA 1 2,D,AR,YES,13.6,0.000,1.000,486.81,-1.38,9.10,13.6,486.81,0.0,-0.00,0.0,39.4,4,505.59
110395,MENA 2 3,D,AR,YES,16.5,0.000,1.000,792.34,-1.39,33.88,16.5,792.34,0.0,0.00,0.0,39.4,4,815.22
110396,MENA 3 1,D,AR,YES,12.7,0.000,1.000,393.16,-1.38,29.81,12.7,393.16,0.0,-0.00,0.0,39.4,4,410.74
110397,MOUNT IDA 1 1,D,AR,YES,2.9,0.000,1.000,105.45,-1.41,9.10,2.9,105.45,0.0,0.00,0.0,8.3,4,109.55
110398,MOUNT IDA 2 1,D,AR,YES,5.1,0.000,1.000,175.42,-1.41,19.74,5.1,175.42,0.0,-0.00,0.0,11.1,4,182.63
110400,MOUNT IDA 3 2,D,AR,YES,7.2,0.000,1.000,56.02,-1.41,3.18,7.2,56.02,0.0,0.00,0.0,12.9,4,66.17
110401,NORMAN 1 1,D,AR,YES,2.2,0.000,1.000,68.88,-1.40,23.00,2.2,68.88,0.0,-0.00,0.0,5.3,4,71.96
110402,NORMAN 2 1,D,AR,YES,2.4,0.000,1.000,47.36,-1.40,9.10,2.4,47.36,0.0,-0.00,0.0,4.1,4,50.72
110403,WICKES 1 1,D,AR,YES,1.3,0.000,1.000,84.27,-1.39,9.10,1.3,84.27,0.0,-0.00,0.0,3.8,4,86.08
110404,WICKES 2 1,D,AR,YES,3.4,0.000,1.000,112.23,-1.39,9.10,3.4,112.23,0.0,-0.00,0.0,9.9,4,116.98
110405,WICKES 3 1,D,AR,YES,2.0,0.000,1.000,40.86,-1.39,10.77,2.0,40.86,0.0,-0.00,0.0,4.6,4,43.64
110406,ADONA 1 1,D,AR,YES,1.0,0.000,1.000,52.61,-1.45,20.51,1.0,52.61,0.0,0.00,0.0,3.0,4,54.06
110407,ALEXANDER 1 1,D,AR,YES,16.7,0.000,1.000,451.53,-1.46,12.67,16.7,451.53,0.0,-0.00,0.0,37.4,4,475.92
110408,ALEXANDER 2 1,D,AR,YES,18.8,0.000,1.000,943.34,-1.47,30.42,18.8,943.34,0.0,-0.00,0.0,37.4,4,971.05
110409,ALEXANDER 3 1,D,AR,YES,15.9,0.000,1.000,690.74,-1.47,20.27,15.9,690.74,0.0,-0.00,0.0,37.4,4,714.05
110410,ALMYRA 1,D,AR,YES,3.0,0.000,1.000,41.29,-1.47,7.93,3.0,41.29,0.0,-0.00,0.0,5.9,4,45.70
110411,ALTHEIMER 1 1,D,AR,YES,0.8,0.000,1.000,23.64,-1.46,29.15,0.8,23.64,0.0,-0.00,0.0,3.5,4,24.80
110412,ALTHEIMER 2 1,D,AR,YES,3.4,0.000,1.000,189.14,-1.46,15.53,3.4,189.14,0.0,-0.00,0.0,6.9,4,194.09
110413,AUGUSTA 1 1,D,AR,YES,3.7,0.000,1.000,163.18,-1.49,23.09,3.7,163.18,0.0,0.00,0.0,7.1,4,168.68
110414,AUGUSTA 2 1,D,AR,YES,6.0,0.000,1.000,363.92,-1.49,33.10,6.0,363.92,0.0,0.00,0.0,13.8,4,372.84
110415,AUSTIN 1 1,D,AR,YES,7.1,0.000,1.000,430.38,-1.48,33.48,7.1,430.38,0.0,-0.00,0.0,17.7,4,440.87
110416,AUSTIN 2 1,D,AR,YES,6.6,0.000,1.000,242.08,-1.48,20.99,6.6,242.08,0.0,0.00,0.0,17.7,4,251.85
110417,AUSTIN 3 1,D,AR,YES,8.4,0.000,1.000,170.70,-1.48,9.10,8.4,170.70,0.0,0.00,0.0,17.7,4,183.14
110418,BAUXITE 1 1,D,AR,YES,4.1,0.000,1.000,49.55,-1.45,3.18,4.1,49.55,0.0,-0.00,0.0,10.8,4,55.48
110419,BAUXITE 2 1,D,AR,YES,4.8,0.000,1.000,94.01,-1.45,3.18,4.8,94.01,0.0,-0.00,0.0,10.8,4,100.98
110420,BEE BRANCH 1,D,AR,YES,4.7,0.000,1.000,168.09,-1.46,9.10,4.7,168.09,0.0,0.00,0.0,12.3,4,174.96
